sample	SF10	SF11	SF12	SF13	SF14	SF15	SF16	SF17	SF18	SF19	SF1	SF20	SF21	SF22	SF23	SF24	SF25	SF26	SF27	SF2	SF34	SF35	SF36	SF37	SF3	SF4	SF5	SF6	SF7	SF8	SF9
PWY.3001._superpathway_of_L.isoleucine_biosynthesis_I	0.000488886	9.17E-06	0.000604712	5.99E-06	0.000257226	5.92E-05	0.000590329	9.33E-05	1.07E-06	4.39E-05	1.24E-05	0.000253065	0.000219633	0	0.000493588	6.57E-05	0.000386849	0.000146608	0.000461525	0.000443224	2.16E-05	0.000244461	0.000651544	1.50E-06	0.000462232	7.97E-05	0.000413887	2.15E-05	0.000105942	3.15E-06	0.000515806
PWY.3661._glycine_betaine_degradation_I	0	1.81E-07	0	0	0	1.99E-07	0	0	2.75E-07	0	0	0	0	1.24E-06	0	0	0	1.40E-07	0	0	0	0	0	5.14E-07	0	0	0	2.05E-07	0	0	0
PWY.3781._aerobic_respiration_I_.cytochrome_c.	1.72E-06	1.78E-05	1.29E-07	4.91E-06	5.23E-05	1.39E-05	4.28E-05	6.31E-05	3.16E-06	6.86E-05	1.54E-05	8.58E-06	9.06E-07	1.09E-05	5.79E-06	2.58E-05	3.75E-05	4.80E-05	2.92E-07	1.24E-05	9.51E-06	0.000597061	6.94E-05	7.81E-06	1.11E-07	1.92E-05	2.99E-06	5.02E-05	2.54E-05	6.40E-06	6.82E-05
PWY.3801._sucrose_degradation_II_.sucrose_synthase.	0.000193707	0	0	0	0	0	0	0	0	0	0	2.81E-05	1.72E-05	0	0.000178006	0	1.11E-05	1.05E-06	0.000146827	0.000162574	0	1.94E-06	5.28E-05	0	0.00016466	4.92E-07	0.000108965	0	0	0	0.000198976
PWY.3841._folate_transformations_II_.plants.	0.000260613	9.36E-06	0.000270495	8.81E-06	0.000594359	4.22E-05	0.000595305	0.000119621	1.04E-06	2.76E-05	1.74E-05	0.000206482	0.00033959	6.19E-07	0.000279721	9.20E-05	0.000397093	0.000178064	0.000309374	0.000260775	2.18E-05	0.000235635	0.000745799	5.28E-07	0.00027501	8.16E-05	0.000275226	0.000131589	0.000747834	6.15E-06	0.000284227
PWY.4041._.gamma..glutamyl_cycle	0.000354919	8.35E-06	0.000621666	5.42E-06	0.000132044	5.43E-05	0.000372328	3.20E-05	8.71E-07	3.94E-05	1.29E-06	0.000177637	0.00015976	0	0.000135105	4.81E-05	0.000211467	0.00010856	0.000446088	0.000330589	1.59E-05	0.000303513	0.000498479	8.14E-07	0.00035443	3.17E-05	0.000286828	1.69E-05	9.74E-05	2.72E-06	0.000428086
PWY.4061._glutathione.mediated_detoxification_I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.99E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY.4361._S.methyl.5.thio..alpha..D.ribose_1.phosphate_degradation_I	0	0	0	0	0	0	0	0	0	0	0	2.45E-07	0	0	0	0	0	0	0	1.60E-07	0	0	0	0	3.43E-07	0	8.61E-07	0	0	0	0
PWY.4702._phytate_degradation_I	0	0	0	2.78E-07	0	1.11E-07	1.19E-06	5.81E-07	5.06E-07	3.46E-07	0	2.27E-07	0	0	0	6.15E-07	0	4.30E-07	0	0	4.39E-07	0	1.10E-06	0	0	7.90E-07	0	4.91E-07	0	2.18E-07	0
PWY.4984._urea_cycle	2.18E-06	0	0	1.65E-06	4.75E-05	5.38E-07	1.87E-05	4.02E-05	0	9.74E-07	1.16E-05	1.65E-05	1.67E-05	0	7.83E-06	3.33E-05	2.24E-05	2.33E-05	3.62E-05	0	1.72E-06	2.40E-06	2.80E-05	0	0	2.16E-05	1.44E-05	2.37E-06	1.78E-05	0	2.38E-07
PWY.5004._superpathway_of_L.citrulline_metabolism	0	0	0	0	1.83E-05	0	0	7.12E-07	0	2.61E-07	3.93E-06	2.91E-07	0	0	0	0	4.14E-07	1.44E-06	0	0	0	0	0	0	0	1.66E-06	0	1.47E-06	0	0	0
PWY.5005._biotin_biosynthesis_II	7.87E-07	4.60E-07	0	6.48E-07	4.00E-06	2.75E-06	0.00017846	7.20E-06	0	2.79E-06	0	2.25E-05	7.04E-06	0	0	0	7.26E-05	1.30E-05	0	1.45E-07	1.06E-06	4.23E-06	0.000170911	0	0	4.28E-05	2.29E-05	4.29E-06	2.47E-05	3.31E-07	1.54E-05
PWY.5022._4.aminobutanoate_degradation_V	0	0	0	3.88E-07	4.51E-05	0	3.42E-06	2.57E-05	0	0	7.02E-07	3.60E-05	0.000118978	0	0	0	2.60E-05	4.44E-05	9.66E-05	5.72E-05	0	0	0	0	5.81E-05	0	2.49E-05	6.00E-06	2.90E-05	8.81E-07	0
PWY.5028._L.histidine_degradation_II	0	0	0	0	0	1.20E-06	0	0	0	0	0	0	0	0	1.13E-05	0	2.59E-06	1.29E-06	2.70E-05	3.90E-07	0	3.52E-06	1.88E-06	0	3.06E-07	0	0	0	0	0	0
PWY.5030._L.histidine_degradation_III	8.51E-07	0	0	2.46E-06	0.000468005	1.34E-05	5.47E-05	5.10E-05	0	2.24E-06	9.65E-06	2.02E-05	0.000145676	0	0	4.74E-07	6.89E-05	7.28E-05	1.25E-05	0	7.00E-06	6.10E-05	0.000168197	0	1.13E-07	2.11E-05	1.56E-05	0.000123482	0.000699376	5.53E-06	6.33E-06
PWY.5067._glycogen_biosynthesis_II_.from_UDP.D.Glucose.	0	2.42E-07	0	2.66E-07	0	7.47E-08	0	1.24E-07	1.92E-07	9.82E-08	3.69E-07	7.67E-08	0	9.38E-07	0	1.12E-07	0	5.59E-08	0	0	2.23E-07	0	0	7.26E-07	0	2.15E-07	0	1.50E-07	0	1.60E-07	0
PWY.5079._L.phenylalanine_degradation_III	0	0	0	0	0	0	0	0	0	5.73E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY.5080._very_long_chain_fatty_acid_biosynthesis_I	0	3.74E-08	0	5.52E-08	0	0	0	3.38E-08	0	1.11E-07	0	0	0	2.14E-07	0	3.19E-08	0	2.30E-08	0	0	0	0	0	7.71E-07	0	2.28E-07	0	5.09E-08	0	3.52E-08	0
PWY.5083._NAD.P./NADPH_interconversion	0	1.50E-07	0	1.37E-07	0	1.15E-07	0	2.31E-07	1.55E-07	1.15E-07	2.78E-07	6.08E-08	0	0	0	1.64E-07	0	6.94E-08	0	0	2.21E-07	1.50E-07	0	5.89E-07	0	4.67E-07	0	1.79E-07	0	1.52E-07	0
PWY.5088._L.glutamate_degradation_VIII_.to_propanoate.	0	0	0	0	0	0	0	1.77E-06	0	0	0	9.58E-06	5.37E-06	0	0	0	1.77E-06	2.61E-07	0	1.00E-06	0	0	0	0	1.43E-06	0	1.82E-05	0	0	0	0
PWY.5097._L.lysine_biosynthesis_VI	0.000464737	8.51E-06	0.00040856	5.88E-06	0.0002913	4.40E-05	0.000465452	0.000114716	8.28E-07	3.87E-05	1.77E-05	0.000209887	0.000277135	0	0.000401124	7.44E-05	0.000336872	0.000157496	0.000497939	0.000424658	1.24E-05	0.000233934	0.000416106	0	0.000436956	7.27E-05	0.000331516	6.14E-05	0.000344178	3.84E-06	0.000450928
PWY.5100._pyruvate_fermentation_to_acetate_and_lactate_II	0.000360538	4.03E-06	0.000304712	1.05E-05	0.000176384	3.01E-05	0.000426892	3.68E-05	7.38E-07	1.70E-05	4.86E-06	0.000131397	0.000153799	0	9.10E-05	4.89E-05	0.000279554	0.000143608	0.000356677	0.000311573	2.03E-05	9.49E-05	0.000520339	1.27E-06	0.000311233	5.87E-05	0.000215401	3.04E-05	0.000124976	5.43E-06	0.000310237
PWY.5103._L.isoleucine_biosynthesis_III	0.000478427	8.90E-06	0.000617619	6.45E-06	0.000359943	6.77E-05	0.000593179	0.00011404	2.02E-06	4.11E-05	1.07E-05	0.000318683	0.000364048	0	0.000448087	7.90E-05	0.000511984	0.000195999	0.000420819	0.000440733	2.31E-05	0.000384593	0.000689829	1.63E-06	0.000456724	9.11E-05	0.000483155	2.35E-05	0.000118725	3.83E-06	0.000477743
PWY.5104._L.isoleucine_biosynthesis_IV	1.87E-07	0	0	5.38E-07	4.68E-05	0	1.72E-06	2.87E-05	0	0	0	7.09E-06	9.42E-06	0	0	9.23E-07	2.39E-05	3.59E-05	1.05E-06	0	0	0	0	0	1.50E-07	1.08E-06	1.41E-05	0	0	1.78E-06	2.21E-07
PWY.5121._superpathway_of_geranylgeranyl_diphosphate_biosynthesis_II_.via_MEP.	0.000161758	1.57E-06	0.000133437	2.30E-06	8.56E-05	3.79E-05	0.000232328	5.50E-05	8.82E-07	2.28E-05	5.35E-06	0.000114726	9.78E-05	0	0.00021426	1.53E-05	0.000246832	0.000110015	0.000157774	0.000165453	6.22E-06	0.000102337	0.000219366	0	0.000170874	3.82E-05	0.000147596	1.12E-05	5.95E-05	1.49E-06	0.000185827
PWY.5130._2.oxobutanoate_degradation_I	5.13E-07	0	0	2.67E-06	0.000319497	2.81E-06	0.000213163	1.25E-05	0	1.06E-06	3.80E-06	2.37E-05	7.45E-06	0	0	0	7.28E-05	2.70E-05	1.97E-07	2.57E-07	1.78E-06	1.25E-06	0.000197155	0	1.17E-07	4.71E-05	1.74E-05	4.70E-05	0.000265454	3.34E-06	6.68E-06
PWY.5136._fatty_acid_.beta..oxidation_II_.plant_peroxisome.	0.000531931	9.14E-07	0.000635651	1.73E-06	0.000118703	8.03E-05	5.89E-05	3.04E-05	1.73E-06	6.16E-05	7.76E-07	0.000248025	0.000107154	3.15E-06	0.000830901	4.44E-05	0.000324183	0.000113986	0.000489829	0.000589987	1.55E-06	0.000461548	5.22E-05	2.66E-06	0.000617176	8.68E-06	0.000504834	2.23E-06	8.29E-06	2.62E-06	0.000491471
PWY.5138._fatty_acid_.beta..oxidation_IV_.unsaturated._even_number.	0.000247017	0	0.000239802	4.74E-07	3.20E-05	6.50E-05	3.44E-05	8.70E-06	1.13E-06	4.49E-05	0	9.67E-05	4.15E-05	0	0.000515719	1.16E-05	0.000164609	4.78E-05	0.000247422	0.000192818	0	0.000319878	0	3.10E-06	0.000201015	3.10E-06	0.000191588	0	0	1.62E-06	0.000221121
PWY.5154._L.arginine_biosynthesis_III_.via_N.acetyl.L.citrulline.	0.000465079	4.70E-07	0.000493173	2.82E-06	0.00013236	3.80E-05	8.00E-05	8.07E-05	7.70E-07	2.95E-05	1.14E-05	0.000220713	0.000185901	0	0.000462547	6.39E-05	0.000287458	0.000114818	0.000372704	0.000401104	8.12E-06	0.000213125	0.000244076	1.28E-06	0.000405737	1.68E-05	0.000344853	3.37E-06	1.73E-05	1.89E-06	0.000475087
PWY.5156._superpathway_of_fatty_acid_biosynthesis_II_.plant.	0	0	0	0	0	0	0	0	0	0	0	7.26E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY.5178._toluene_degradation_IV_.aerobic._.via_catechol.	0	0	0	0	0	0	3.47E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY.5180._toluene_degradation_I_.aerobic._.via_o.cresol.	0	0	0	0	0	0	4.99E-06	0	0	1.42E-05	0	0.000181288	5.83E-05	0	6.13E-05	0	0	0	0	0.000245066	0	7.66E-07	0	0	0.000280563	2.63E-06	0.000183015	0	0	0	0
PWY.5188._tetrapyrrole_biosynthesis_I_.from_glutamate.	0.00031374	7.13E-06	0.000401266	5.04E-06	0.000117791	3.70E-05	0.000428929	3.35E-05	5.56E-07	2.59E-05	4.53E-07	0.000159382	6.89E-05	0	0.000325533	7.39E-05	0.00044576	0.000135728	0.00027001	0.00027787	5.40E-06	0.000157925	0.000294063	6.29E-07	0.000291473	5.59E-05	0.00028699	3.54E-05	0.000185386	2.61E-06	0.00029295
PWY.5189._tetrapyrrole_biosynthesis_II_.from_glycine.	0.000278092	6.81E-07	0.000346771	1.15E-06	9.74E-05	1.31E-05	0.00014715	1.23E-05	5.71E-07	2.27E-05	2.46E-07	0.000112064	3.77E-05	0	0.000300498	2.75E-05	0.000352822	9.77E-05	0.000202344	0.000182259	6.11E-07	1.32E-05	2.57E-05	5.23E-07	0.000184713	1.49E-05	0.000230332	3.07E-05	0.000158929	2.29E-06	0.000253005
PWY.5198._factor_420_biosynthesis_II_.mycobacteria.	0	0	0	0	1.35E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	7.61E-08	0	0	0	0	0	0	0	0	0	0	0	0
PWY.5209._methyl.coenzyme_M_oxidation_to_CO2	0	0	0	0	1.03E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	7.51E-08	0	0	0	0	0	0	0	0	0	0	0	0
PWY.5265._peptidoglycan_biosynthesis_II_.staphylococci.	5.96E-06	0	0	0	5.47E-06	0	6.99E-05	2.05E-06	0	1.35E-05	0	2.16E-05	5.20E-05	0	0	0	0	0	0	0	0	0	0.000373551	0	0	1.34E-05	2.35E-06	0	5.06E-06	0	1.34E-05
PWY.5306._superpathway_of_thiosulfate_metabolism_.Desulfovibrio_sulfodismutans.	0	0	0	3.31E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY.5345._superpathway_of_L.methionine_biosynthesis_.by_sulfhydrylation.	1.34E-05	1.52E-06	0	2.62E-06	0.00012445	1.71E-05	0.000147426	5.47E-05	0	1.63E-05	0	0.00015029	0.000225323	0	6.38E-07	1.82E-05	0.00018648	0.00010946	8.82E-05	1.20E-05	3.45E-06	1.42E-05	9.08E-05	0	2.03E-06	2.30E-05	0.000123951	3.56E-06	1.34E-05	2.37E-06	0.00010188
PWY.5347._superpathway_of_L.methionine_biosynthesis_.transsulfuration.	0.000516302	1.27E-06	0.00056112	1.32E-06	5.09E-05	5.67E-05	0.000154884	2.84E-05	3.49E-07	4.31E-05	0	0.000197706	9.64E-05	0	0.000258675	2.98E-05	0.000212828	6.50E-05	0.00044394	0.000447078	6.50E-06	0.00033284	0.000214396	1.48E-06	0.000463222	1.65E-05	0.000354287	0	0	1.96E-06	0.000510163
PWY.5367._petroselinate_biosynthesis	1.83E-06	0	0.000139843	0	9.48E-06	3.60E-05	1.75E-05	9.88E-06	4.94E-07	2.37E-05	0	6.51E-05	2.51E-05	0	9.36E-06	8.53E-06	6.64E-05	1.71E-05	2.07E-06	2.27E-05	4.30E-06	2.36E-06	6.44E-05	4.44E-07	3.13E-05	3.18E-06	7.17E-05	0	6.84E-07	8.11E-07	8.11E-06
PWY.5384._sucrose_degradation_IV_.sucrose_phosphorylase.	0.000491312	1.03E-06	0.000511906	3.25E-06	6.96E-05	1.15E-05	0.000335238	3.47E-05	8.02E-07	2.21E-05	1.39E-06	0.000169285	0.000135197	0	0.000308732	4.47E-05	0.000269384	9.05E-05	0.000638138	0.000548549	1.20E-05	0.000146545	0.000321675	0	0.000555483	3.83E-05	0.000407161	4.64E-06	2.84E-05	1.19E-06	0.000459267
PWY.5392._reductive_TCA_cycle_II	0	0	0	0	2.50E-06	0	0	2.66E-06	0	0	0	4.57E-07	0	0	0	0	5.61E-06	1.90E-06	7.37E-07	0	0	0	4.37E-06	0	1.03E-07	0	0	1.01E-06	6.78E-06	0	2.86E-06
PWY.5415._catechol_degradation_I_.meta.cleavage_pathway.	0	0	0	0	0	0	4.48E-06	0	0	5.73E-06	0	2.06E-06	4.09E-06	0	2.82E-07	0	0	0	0	2.29E-07	0	6.26E-07	3.01E-06	0	3.60E-07	1.97E-06	5.85E-07	0	0	0	0
PWY.5417._catechol_degradation_III_.ortho.cleavage_pathway.	0.000199354	0	0	0	0	7.61E-07	1.84E-06	0	0	0	0	1.78E-05	1.21E-05	0	5.93E-05	0	8.95E-06	2.75E-06	0.000214576	0.000193315	0	3.67E-07	0	0	0.00020627	1.24E-06	8.35E-05	0	0	0	0.000158894
PWY.5431._aromatic_compounds_degradation_via_.beta..ketoadipate	0.000199354	0	0	0	0	7.61E-07	1.84E-06	0	0	0	0	1.78E-05	1.21E-05	0	5.93E-05	0	8.95E-06	2.75E-06	0.000214576	0.000193315	0	3.67E-07	0	0	0.00020627	1.24E-06	8.35E-05	0	0	0	0.000158894
PWY.5464._superpathway_of_cytosolic_glycolysis_.plants.._pyruvate_dehydrogenase_and_TCA_cycle	0	0	0	0	0	0	3.67E-06	0	0	0	0	0	0	0	0	6.08E-06	0	3.31E-07	0	0	0	0	2.50E-05	0	0	0	0	0	0	0	5.56E-07
PWY.5484._glycolysis_II_.from_fructose_6.phosphate.	0.000357098	1.04E-05	0.000459637	6.54E-06	0.000237235	5.45E-05	0.000421538	6.85E-05	2.26E-06	3.29E-05	1.19E-05	0.000212423	0.000291025	0	0.000311295	5.37E-05	0.000320258	0.000144845	0.000360056	0.000374562	1.07E-05	0.000207383	0.000466241	3.27E-06	0.0003956	6.32E-05	0.000324729	6.38E-05	0.000345464	5.14E-06	0.000329186
PWY.5494._pyruvate_fermentation_to_propanoate_II_.acrylate_pathway.	0	0	0	0	0	0	0	4.42E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY.5497._purine_nucleobases_degradation_II_.anaerobic.	7.65E-06	0	4.81E-05	0	2.43E-05	2.70E-06	3.82E-05	1.61E-05	0	2.19E-06	1.15E-06	5.14E-05	1.93E-05	0	5.96E-05	5.00E-06	0.000177234	5.51E-05	1.46E-05	9.43E-05	0	5.82E-06	4.71E-06	0	0.000104295	1.51E-05	0.00013142	0	0	9.08E-07	2.36E-06
PWY.5505._L.glutamate_and_L.glutamine_biosynthesis	4.75E-06	7.33E-07	0	3.81E-07	4.57E-05	4.92E-06	1.36E-05	3.22E-05	0	3.20E-07	1.69E-06	3.02E-05	1.46E-05	0	0	9.63E-07	3.54E-05	2.51E-05	3.02E-06	5.15E-07	5.94E-07	1.74E-06	0	0	6.74E-07	1.30E-05	2.96E-05	0	8.00E-07	0	1.69E-05
PWY.5514._UDP.N.acetyl.D.galactosamine_biosynthesis_II	0	3.52E-07	0	0	0	0	6.29E-07	2.15E-07	0	0	0	1.14E-07	3.68E-07	0	1.24E-07	5.16E-07	0	2.19E-07	0	1.11E-07	0	6.54E-07	0	3.90E-07	0	0	0	0	0	1.98E-07	0
PWY.5531._3.8.divinyl.chlorophyllide_a_biosynthesis_II_.anaerobic.	0	0	0	0	9.52E-06	0	0	0	0	0	0	0	0	0	0	0	0	1.95E-06	0	0	0	4.46E-06	0	0	0	1.93E-06	0	0	0	0	0
PWY.561._superpathway_of_glyoxylate_cycle_and_fatty_acid_degradation	0.000472533	4.07E-07	0.000458208	5.96E-07	6.00E-05	2.86E-06	7.60E-06	2.28E-05	1.22E-06	2.78E-06	7.59E-07	0.000146538	7.22E-05	0	0.000144101	1.45E-05	0.000193624	6.98E-05	0.000414211	0.000421991	5.72E-07	1.14E-05	3.71E-06	1.39E-06	0.000441815	3.64E-06	0.000318201	1.78E-06	2.97E-06	1.92E-06	0.00046552
PWY.5647._2.nitrobenzoate_degradation_I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.56E-07	1.06E-06	0	0	0	0	0	0	0	0	0	0	0	0
PWY.5651._L.tryptophan_degradation_to_2.amino.3.carboxymuconate_semialdehyde	0	0	0	0	0	0	2.07E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY.5652._2.amino.3.carboxymuconate_semialdehyde_degradation_to_glutaryl.CoA	0	0	0	0	0	8.13E-08	0	1.17E-07	0	0	0	5.01E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY.5654._2.amino.3.carboxymuconate_semialdehyde_degradation_to_2.hydroxypentadienoate	0.000108036	0	0	0	0	8.01E-08	0	1.41E-07	0	0	0	6.94E-08	0	0	1.01E-07	0	5.29E-07	1.29E-07	1.16E-05	9.38E-08	0	0	0	0	6.54E-08	0	2.20E-06	0	0	0	8.64E-05
PWY.5656._mannosylglycerate_biosynthesis_I	2.66E-07	0	0.000189832	0	2.37E-05	0	1.42E-06	9.54E-06	4.67E-07	1.81E-07	0	3.43E-05	1.14E-05	0	3.26E-06	1.06E-05	5.93E-05	1.70E-05	0	3.44E-05	0	2.01E-07	0	0	3.73E-05	8.14E-07	8.75E-05	0	0	8.30E-08	0
PWY.5659._GDP.mannose_biosynthesis	0.000125175	7.91E-06	0.000308085	3.22E-06	0.000319013	7.52E-06	0.000211157	3.88E-05	9.07E-07	3.09E-05	1.05E-05	0.000129163	9.10E-05	0	3.16E-05	4.51E-05	0.000156273	7.78E-05	0.000215338	0.000175983	1.12E-05	5.15E-05	0.000193872	5.45E-07	0.00019246	1.92E-05	0.000230511	6.27E-05	0.000344907	3.16E-06	0.000117175
PWY.5667._CDP.diacylglycerol_biosynthesis_I	0.000451676	1.01E-05	0.000416477	9.20E-06	0.000489837	4.93E-05	0.000510997	0.000125662	3.17E-06	3.82E-05	1.78E-05	0.000266288	0.000274227	0	0.000372151	9.56E-05	0.000470497	0.000184584	0.000368285	0.000385081	1.63E-05	0.000244991	0.000379676	2.40E-06	0.000420405	5.38E-05	0.00041504	6.99E-05	0.000377874	5.11E-06	0.000482577
PWY.5675._nitrate_reduction_V_.assimilatory.	7.39E-05	7.03E-07	0.000414844	3.36E-07	4.05E-05	2.77E-05	4.40E-05	2.79E-05	2.01E-06	2.05E-05	3.00E-07	0.000154844	5.62E-05	0	0.000378354	3.44E-05	0.00014677	4.26E-05	0.000222091	0.00019312	0	2.82E-06	6.82E-05	0	0.000213597	7.04E-06	0.000220033	0	7.26E-07	1.08E-06	3.00E-05
PWY.5676._acetyl.CoA_fermentation_to_butanoate_II	1.14E-05	0	0	4.36E-07	0.000121018	4.47E-06	1.54E-05	2.88E-05	0	9.12E-06	2.73E-06	3.22E-05	2.24E-05	0	0	4.16E-05	4.81E-05	4.94E-05	1.98E-06	1.54E-05	2.56E-06	0.000206647	5.70E-05	0	0	5.60E-06	6.57E-07	9.11E-07	5.72E-06	8.30E-07	3.56E-05
PWY.5677._succinate_fermentation_to_butanoate	0	0	0	0	3.29E-05	0	0	0	0	0	0	0	0	0	0	0	0	3.97E-06	1.12E-07	0	0	0	0	0	0	0	0	0	4.49E-07	0	0
PWY.5686._UMP_biosynthesis_I	0.000351009	1.53E-06	0.000382077	6.98E-06	0.00058531	4.57E-05	0.000555657	0.000141473	1.39E-06	3.45E-05	2.08E-05	0.000195855	0.000289668	0	0.000379369	7.98E-05	0.000418586	0.000187741	0.000331299	0.000389715	1.82E-05	0.000222264	0.000651546	5.64E-07	0.000402863	8.99E-05	0.000250258	0.000130285	0.000733199	4.96E-06	0.000314137
PWY.5690._TCA_cycle_II_.plants_and_fungi.	0	2.29E-07	0	0	5.51E-06	0	1.99E-06	2.55E-06	0	2.53E-07	0	0	0	0	2.56E-07	3.70E-06	0	6.83E-06	1.07E-06	0	0	0	1.39E-05	0	0	0	0	8.30E-07	2.01E-06	0	2.99E-07
PWY.5692._allantoin_degradation_to_glyoxylate_II	1.56E-07	0	3.16E-05	0	1.32E-06	0	5.02E-08	2.24E-06	0	1.57E-07	0	9.31E-06	2.44E-06	0	1.74E-07	0	1.06E-05	3.27E-06	2.35E-07	5.10E-06	0	0	0	0	6.02E-06	0	2.07E-05	0	0	0	0
PWY.5695._inosine_5..phosphate_degradation	0.000254424	1.22E-05	0.000708368	8.63E-06	0.000548312	5.68E-05	0.000735977	0.000141164	2.71E-06	4.63E-05	2.31E-05	0.000236446	0.000363375	6.85E-06	0.000644561	0.000106728	0.00051222	0.000241721	0.000330916	0.000304681	2.01E-05	0.000225554	0.00074967	5.64E-06	0.000302385	8.11E-05	0.000360561	0.000118747	0.000650988	8.58E-06	0.000371366
PWY.5705._allantoin_degradation_to_glyoxylate_III	2.24E-07	0	5.41E-05	0	1.04E-05	0	2.47E-07	3.73E-06	0	2.20E-07	0	2.61E-05	9.74E-06	0	8.80E-06	7.95E-07	4.77E-05	1.49E-05	3.12E-06	8.79E-06	0	0	0	0	1.04E-05	1.63E-07	4.31E-05	0	0	0	0
PWY.5723._Rubisco_shunt	0.000452176	8.29E-07	0.000554164	1.31E-06	7.60E-05	5.29E-05	6.00E-06	2.83E-05	7.17E-07	3.88E-05	0	0.000216431	0.000103689	0	0.000433749	4.18E-05	0.000397686	0.000115323	0.000459793	0.000445339	0	4.06E-05	1.94E-05	7.92E-07	0.000460413	3.05E-05	0.000414442	0	0	2.71E-06	0.000454311
PWY.5747._2.methylcitrate_cycle_II	5.91E-07	0	9.45E-05	0	2.97E-06	2.17E-05	1.16E-06	2.15E-06	2.12E-07	1.30E-05	0	3.14E-05	1.49E-05	0	0	3.26E-06	2.79E-05	7.04E-06	4.28E-06	4.88E-05	0	2.55E-06	0	0	5.86E-05	0	8.12E-05	0	0	5.08E-07	0
PWY.5837._2.carboxy.1.4.naphthoquinol_biosynthesis	0.000280075	6.16E-06	0.000312158	7.82E-07	4.47E-05	2.96E-05	0.000261265	1.37E-05	6.97E-07	2.59E-05	1.57E-06	0.000117629	7.28E-05	0	0.000261887	1.06E-05	0.000173111	5.92E-05	0.000280206	0.000294104	2.87E-06	0.000229139	0.000234136	0	0.000313906	4.42E-05	0.000217255	0	1.64E-06	1.53E-06	0.000268345
PWY.5838._superpathway_of_menaquinol.8_biosynthesis_I	0.000297635	8.04E-07	0.000387377	0	0.000115866	3.36E-05	6.70E-05	3.40E-05	4.84E-07	2.93E-05	4.31E-06	0.000136277	0.000123616	0	0.000294068	1.69E-05	0.000219138	9.21E-05	0.000274842	0.000283214	1.99E-06	0.000183811	8.19E-05	0	0.000296585	2.72E-05	0.000253312	0	5.52E-06	1.43E-06	0.000289794
PWY.5840._superpathway_of_menaquinol.7_biosynthesis	0.000277894	0	0.000229462	1.78E-06	0.000119102	3.36E-05	0.000169002	2.08E-05	0	2.80E-05	0	0.000102396	8.47E-05	0	0.000292219	1.69E-05	0.000155248	6.21E-05	0.000263714	0.000269117	2.95E-06	2.20E-05	0.000125319	0	0.000280152	2.14E-05	0.000225341	0	5.58E-06	2.79E-06	0.000256126
PWY.5845._superpathway_of_menaquinol.9_biosynthesis	0.000277894	0	0.000229462	1.70E-06	0.000102232	3.36E-05	1.91E-05	2.08E-05	0	2.80E-05	3.84E-06	0.000102396	0.000147298	0	0.000292219	1.69E-05	0.000155248	8.23E-05	0.000263714	0.000269117	0	7.02E-06	0	0	0.000280152	0	0.000225341	0	4.75E-06	0	0.000256126
PWY.5850._superpathway_of_menaquinol.6_biosynthesis	0.000277894	0	0.000229462	0	9.45E-05	3.36E-05	8.99E-06	2.08E-05	0	2.80E-05	0	0.000102396	8.47E-05	0	0.000292219	1.69E-05	0.000155248	6.21E-05	0.000263714	0.000269117	0	0	0	0	0.000280152	0	0.000225341	0	0	0	0.000256126
PWY.5855._ubiquinol.7_biosynthesis_.early_decarboxylation.	0.000114206	0	9.26E-05	4.10E-07	3.22E-06	2.50E-05	5.48E-06	2.35E-06	2.05E-07	2.17E-05	0	3.68E-05	1.50E-05	0	0.000246087	5.49E-06	2.33E-05	1.01E-05	7.02E-05	7.61E-05	0	0.000147419	7.29E-07	4.83E-07	7.99E-05	1.34E-06	6.68E-05	0	5.99E-07	7.33E-07	0.000103452
PWY.5860._superpathway_of_demethylmenaquinol.6_biosynthesis_I	0.000274469	0	0.000185962	0	6.71E-05	3.11E-05	6.08E-06	1.49E-05	0	2.70E-05	0	8.47E-05	6.30E-05	0	0.0002983	1.28E-05	0.000124606	4.86E-05	0.000256954	0.000283742	0	0	0	0	0.000298564	0	0.000203422	0	0	0	0.000248625
