	SF1	SF2	SF3	SF4	SF6	SF7	SF8	SF11	SF12	SF13	SF14	SF17	SF18	SF19	SF20	SF22	SF23	SF24	SF25	SF34	SF35	SF36	SF37
PWY.5862._superpathway_of_demethylmenaquinol.9_biosynthesis	2.73E-06	0.000283742	0.000298564	0	0	3.18E-06	0	0	0.000185962	1.25E-06	0.000072981	1.49E-05	0	2.70E-05	8.47E-05	0	0.0002983	1.28E-05	0.000124606	0	4.75E-06	0	0
P42.PWY._incomplete_reductive_TCA_cycle	1.61E-06	6.58E-06	1.06E-06	1.04E-05	3.39E-05	0.000164327	1.94E-06	0	0	1.47E-06	0.000147819	6.00E-06	2.61E-07	5.78E-06	5.63E-05	0	0	4.07E-06	0.000106315	1.59E-06	5.05E-06	8.31E-05	1.01E-06
PWY66.409._superpathway_of_purine_nucleotide_salvage	2.69E-06	0.00026273	0.000267909	0.000050812	3.15E-05	0.000148872	1.47E-06	2.05E-06	0.000274891	1.97E-06	9.02E-05	4.27E-05	9.36E-07	3.40E-05	0.000133667	0	0.000340902	8.31E-05	0.00018213	1.68E-05	0.000252681	0.000521962	0
PWY0.881._superpathway_of_fatty_acid_biosynthesis_I_.E._coli.	0	0	0	0	0	0	5.81E-07	1.11E-06	0	8.33E-07	0	1.20E-06	4.06E-07	8.52E-07	9.65E-07	0	0	1.08E-06	0	1.99E-06	0	0	0
PWY.5845._superpathway_of_menaquinol.9_biosynthesis	3.84E-06	0.000269117	0.000280152	0	0	4.75E-06	0	0	0.000229462	1.70E-06	0.000102232	2.08E-05	0	2.80E-05	0.000102396	0	0.000292219	1.69E-05	0.000155248	0	7.02E-06	0	0
PWY.7388._octanoyl..acyl.carrier_protein._biosynthesis_.mitochondria._yeast.	0	0.000245692	0.00024798	3.73E-06	1.92E-06	3.81E-06	0	0	3.61E-05	0	0	2.99E-06	5.93E-07	0	0.000102106	0	2.62E-05	1.09E-05	2.38E-05	0	7.87E-07	0	0
PWY.8178._pentose_phosphate_pathway_.non.oxidative_branch._II	8.82E-06	0.000738326	0.000777411	4.35E-05	7.57E-05	0.000409296	6.05E-06	1.03E-05	0.000678538	5.68E-06	0.000510132	8.59E-05	2.36E-06	5.14E-05	0.000364067	0	0.000494542	0.000120951	0.000538931	1.35E-05	0.000174259	0.000462408	8.34E-07
PWY.6285._superpathway_of_fatty_acids_biosynthesis_.E._coli.	0	0.000146238	0.000181819	0.000017565	0	4.37E-06	1.68E-06	0	0.000252685	0	6.22E-05	3.99E-05	6.12E-07	4.70E-05	0.000152436	0	7.81E-05	1.39E-05	0.000211315	8.60E-06	2.22E-05	0.000268276	0
ARGSYN.PWY._L.arginine_biosynthesis_I_.via_L.ornithine.	1.25E-05	0.000397074	0.000410709	5.82E-05	1.88E-05	9.65E-05	2.27E-06	1.39E-06	0.000512126	3.94E-06	0.000171615	8.49E-05	6.79E-07	3.74E-05	0.000210554	0	0.000430495	8.54E-05	0.000310065	1.06E-05	0.000236161	0.000474924	1.44E-06
PWY.7805._.aminomethyl.phosphonate_degradation	0	1.91E-05	2.28E-05	0	0	0	0	0	7.93E-05	0	0.000016543	1.68E-06	0	0	2.66E-05	0	0	1.35E-06	4.85E-05	0	0	0	0
ARGSYNBSUB.PWY._L.arginine_biosynthesis_II_.acetyl_cycle.	8.52E-06	0.000398169	0.000413992	4.70E-05	1.94E-05	9.67E-05	2.16E-06	1.55E-06	0.000532315	3.78E-06	0.000171064	8.28E-05	4.86E-07	0.000033346	0.00021752	0	0.000425859	8.86E-05	0.000344911	9.76E-06	0.000240237	0.000437452	1.54E-06
UDPNAGSYN.PWY._UDP.N.acetyl.D.glucosamine_biosynthesis_I	2.00E-06	0.000358344	0.000362968	8.38E-05	3.37E-05	0.000196477	2.56E-06	7.92E-06	0.000514741	5.89E-06	0.000179254	4.92E-05	9.52E-07	3.57E-05	0.000252053	0	0.000335215	0.000127074	0.000487076	1.78E-05	0.000265434	0.000640487	3.83E-07
PWY0.162._superpathway_of_pyrimidine_ribonucleotides_de_novo_biosynthesis	1.21E-05	0.000329524	0.000339453	3.00E-05	3.16E-05	0.000150808	3.53E-06	1.27E-06	0.000293322	3.07E-06	0.000238159	7.35E-05	1.09E-06	2.88E-05	0.000157048	0	0.000310451	2.93E-05	0.000194485	1.18E-05	0.000208342	0.000242414	6.55E-07
PWY.7840._gala.series_glycosphingolipids_biosynthesis	9.98E-07	0	0	4.45E-07	6.83E-07	0	4.22E-07	6.63E-07	0	5.45E-07	0	0	7.13E-07	4.13E-07	0	5.42E-06	0	3.95E-07	0	0	0	0	1.75E-06
